,Scheme_Name,Rating,Category,Launch_Date,Expense_Ratio,ret_1yr,AUM,Sortino_Ratio,Beta,Alpha,ret_3yr,ret_5yr,x,y,Scheme_Code
118486,IDFC  Asset Allocation Fund Of Fund-Conservative Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,5.7113356590271,2.5883290767669678,118486
118491,IDFC  Monthly Income Plan-Direct Plan-Growth,Unrated,EQ-SC,6/15/2017,0.47,-19.37,147.37,-,-,-,-,-,8.55565071105957,2.8390443325042725,118491
118493,Templeton India Growth Fund-Direct - Dividend,Unrated,EQ-T DIV Y,1/1/2013,1.83,-7.16,935.02,0.82,0.87,-0.36,15.99,14.26,-3.8243906497955322,-28.261474609375,118493
118494,Templeton India Growth Fund - Direct - Growth,Unrated,EQ-T DIV Y,1/1/2013,1.83,-7.16,935.02,0.82,0.87,-0.36,15.99,14.26,1.635040521621704,-18.797813415527344,118494
118495,Franklin India Dynamic Accrual Fund - Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,-4.253698825836182,31.921112060546875,118495
118498,Franklin India GOVERNMENT SECURITIES FUND - Long Term Plan - Direct - Growth,* * *,EQ-MLC,1/1/2013,0.99,-7.25,7527.5,0.86,0.96,0.68,15.88,20.44,23.199983596801758,22.88859748840332,118498
118506,Franklin India Savings Plus Fund - Direct - Growth,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,-16.674259185791016,27.109682083129883,118506
118508,Franklin India Cash Management Account - Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,-17.45008659362793,12.159680366516113,118508
118510,Franklin India FLEXI CAP FUND - Direct - Growth,Unrated,EQ-INTL,1/2/2013,0.9,19.18,746.43,0.89,-,-,18.99,11.44,9.62830638885498,-21.740921020507812,118510
118512,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 20S PLAN - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,11.466575622558594,-15.487442016601562,118512
118514,Franklin India Life Stage Fund of Funds - The 30s Plan - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,8.533889770507812,-9.944854736328125,118514
118516,Franklin India Life Stage Fund of Funds - The 40s Plan - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,7.599242210388184,-0.4852291941642761,118516
118518,Franklin India Life Stage Fund of Funds - The 50s Plus - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,5.766721248626709,1.9543637037277222,118518
118519,Franklin India Life Stage Fund Of Funds - The 50S Plus Floating Rate Plan - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,4.964760780334473,0.36997532844543457,118519
118525,Franklin India Smaller Companies Fund - Direct - Growth,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,8.988720893859863,-10.811152458190918,118525
118527,Templeton India EQUITY INCOME FUND - Direct - Growth,* * *,EQ-ELSS,1/1/2013,1.88,-1.9,62.01,0.96,0.97,1.96,18.75,16.13,0.9108370542526245,-19.330137252807617,118527
118530,Franklin India Low Duration Fund - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,-10.752339363098145,30.64411735534668,118530
118531,Franklin India Bluechip Fund- Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,12.018749237060547,-16.067598342895508,118531
118533,Franklin India PRIMA FUND - Direct - Growth,Unrated,EQ-THEMATIC,1/1/2013,2.04,-9.07,573.75,0.52,0.98,-2.16,13.38,16.66,9.54244327545166,-11.10074234008789,118533
118535,Franklin India PRIMA PLUS - Direct - Growth,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,13.425116539001465,-15.300115585327148,118535
118537,Franklin India Technology Fund - Direct - Growth,* * *,EQ-ELSS,1/1/2013,1.18,-3.43,3666.3,0.65,0.84,-0.95,13.09,17.16,-18.2137393951416,0.7901511192321777,118537
118539,Franklin INDIA OPPORTUNITIES FUND - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,13.38124942779541,-17.20250129699707,118539
118540,Franklin India TAXSHIELD - Direct - Growth,* * *,EQ-SC,1/1/2013,0.88,-18.64,6858.71,0.56,0.67,3.79,13.72,22.8,13.597103118896484,-15.410661697387695,118540
118543,Franklin India Dynamic PE Ratio Fund Of Funds - Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,7.28971004486084,-5.5616536140441895,118543
118546,Franklin India BALANCED FUND - Direct - Growth,* * * * *,EQ-S INFRA,1/1/2013,0.96,-10.59,1135.76,1.03,0.85,6.62,16.62,23.48,13.662458419799805,-12.704817771911621,118546
118548,Franklin India  PENSION PLAN - Direct - Growth,* * * * *,EQ-S INFRA,1/1/2013,0.96,-10.59,1135.76,1.03,0.85,6.62,16.62,23.48,10.932805061340332,-0.7572070360183716,118548
118551,Franklin India Feeder - Franklin US Opportunities Fund - Direct - Growth,Unrated,EQ-INTL,5/16/2014,0.48,-4.5,18.33,0.06,-,-,7.91,-,-14.739473342895508,-2.593890428543091,118551
118553,Franklin India Corporate Bond Opportunities Fund - Direct - Growth,* *,EQ-LC,1/1/2013,1.23,-3.76,7685.4,0.65,0.93,-2.38,13.01,13.99,-2.0883045196533203,32.56984329223633,118553
118554,Franklin India Income Opportunities Fund - Direct - Growth,* * *,EQ-MLC,1/1/2013,0.99,-7.25,7527.5,0.86,0.96,0.68,15.88,20.44,-2.0324349403381348,32.571144104003906,118554
118557,Franklin Build India Fund - Direct - Growth,Unrated,EQ-INTL,1/1/2013,2.35,-3.61,117.54,0.75,-,-,15.39,9.3,14.335134506225586,-16.795873641967773,118557
118559,Franklin Asian Equity Fund - Direct - Growth,Unrated,EQ-MLC,7/2/2018,0.52,-,159.91,-,-,-,-,-,-9.247716903686523,-8.40013599395752,118559
118560,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth,Unrated,EQ-S IT,1/1/2013,2.12,17.29,241.27,0.92,0.69,0.6,16.09,11.98,-12.050987243652344,30.80458641052246,118560
118563,Franklin India High Growth Companies Fund - Direct - Dividend,* * *,EQ-MLC,1/1/2013,0.99,-7.25,7527.5,0.86,0.96,0.68,15.88,20.44,2.6819400787353516,-30.738882064819336,118563
118564,Franklin India High Growth Companies Fund - Direct - Growth,* * *,EQ-MLC,1/1/2013,0.99,-7.25,7527.5,0.86,0.96,0.68,15.88,20.44,14.499308586120605,-16.77227210998535,118564
118565,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH,* * * *,EQ-MC,1/1/2013,0.99,-9.39,6457.92,0.73,0.78,0.78,15.42,22.19,-2.0324912071228027,32.60055160522461,118565
118569,Franklin India INCOME BUILDER ACCOUNT - Direct - GROWTH,* * *,EQ-MLC,1/1/2013,0.99,-7.25,7527.5,0.86,0.96,0.68,15.88,20.44,-2.363699197769165,31.670242309570312,118569
118574,Franklin India MONTHLY INCOME PLAN - Direct - GROWTH,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,10.336129188537598,1.8019744157791138,118574
118577,Franklin India TREASURY MANAGEMENT ACCOUNT - Super Instittutional - Direct - Growth,Unrated,EQ-S IT,1/1/2013,2.12,17.29,241.27,0.92,0.69,0.6,16.09,11.98,-20.16668701171875,17.77751350402832,118577
118581,Franklin India INDEX FUND NIFTY PLAN - Direct - Growth,* *,EQ-LC,1/1/2013,0.7,2.92,249.44,0.82,0.99,-0.85,15.89,12.72,-3.6214187145233154,-35.513755798339844,118581
118585,Reliance Arbitrage Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-ELSS,12/23/2008,1.29,-1.86,72.96,0.84,0.81,-0.05,14.47,14.64,-27.401933670043945,11.569225311279297,118585
118588,Reliance Banking Fund - Direct Plan Growth Plan - Bonus Option,* * *,EQ-S BANK,1/1/2013,1.63,-4.98,2796.89,0.88,0.95,-0.37,22.08,21.66,17.362565994262695,-35.38880157470703,118588
118589,Reliance Banking Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-S BANK,1/1/2013,1.63,-4.98,2796.89,0.88,0.95,-0.37,22.08,21.66,17.363481521606445,-35.38979721069336,118589
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,Unrated,EQ-INTL,1/1/2013,0.78,3.41,45.36,1.06,-,-,13.14,7.54,9.911418914794922,-22.962677001953125,118615
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,* * * *,EQ-LC,1/1/2013,0.53,1.79,144.99,0.75,1.02,-0.67,15.78,15.24,4.566430568695068,-26.139663696289062,118617
118620,Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan-Growth Option,* *,EQ-ELSS,1/21/2013,0.59,-8.57,77.6,0.48,0.95,-2.71,12.74,14.38,13.131937980651855,-21.028179168701172,118620
118624,Edelweiss Multi-Asset Allocation Fund-Direct Plan-Growth Option,* * * *,EQ-MLC,1/27/2015,0.51,-3.9,218.96,0.89,1.05,1.45,18.41,-,8.942849159240723,-22.479562759399414,118624
118632,Reliance Large Cap Fund - Direct Plan Growth Plan - Growth Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,6.418211460113525,-28.629093170166016,118632
118633,Reliance Large Cap Fund - Direct Plan Growth Plan - Bonus Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,6.418780326843262,-28.633878707885742,118633
118650,Reliance Multi Cap Fund - Direct Plan Growth Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.43,-5.32,9843.6,0.53,1.03,-1.75,14.55,16.07,7.318224906921387,-31.38336181640625,118650
118651,Reliance Multi Cap Fund - Direct Plan Growth Plan - Bonus Option,* *,EQ-MLC,1/1/2013,1.43,-5.32,9843.6,0.53,1.03,-1.75,14.55,16.07,7.318101406097412,-31.383563995361328,118651
118656,Reliance Floating Rate Fund - Short Term Plan - Direct Plan Growth Plan - Growth Option,Unrated,EQ-T Consumption,1/1/2013,1.23,-10,74.66,0.02,0.83,-6.03,8.2,12,-3.1722428798675537,24.921510696411133,118656
118663,Reliance Gold Savings Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-MLC,1/1/2013,1.4,-14.67,4165.21,0.51,1.08,-1.83,15.17,21.19,-6.480953216552734,8.160033226013184,118663
118665,Reliance Growth Fund - Direct Plan Growth Plan - Bonus Option,* *,EQ-MC,1/1/2013,1.45,-12.2,6412.14,0.56,0.9,-0.75,15.49,17.63,7.117794513702393,-20.80577850341797,118665
118666,Reliance Growth Fund - Direct Plan Dividend Plan,* *,EQ-MC,1/1/2013,1.45,-12.2,6412.14,0.56,0.9,-0.75,15.49,17.63,8.292344093322754,-34.141395568847656,118666
118668,Reliance Growth Fund - Direct Plan Growth Plan - Growth Option,* *,EQ-MC,1/1/2013,1.45,-12.2,6412.14,0.56,0.9,-0.75,15.49,17.63,7.120251655578613,-20.803194046020508,118668
118672,Reliance Gilt Securities Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-MLC,1/1/2013,1.4,-14.67,4165.21,0.51,1.08,-1.83,15.17,21.19,18.630094528198242,23.518749237060547,118672
