Scheme Code,Scheme Name,Rating,Category,Launch Date,Expense Ratio,ret_1yr,AUM,Sortino Ratio,Beta,Alpha,ret_3 yr,ret_5yr
120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,12/17/2018,-,-,852.58,-,-,-,-,-
141642,Axis Dynamic Equity Fund - Direct Plan - Growth,Unrated,EQ-MLC,12/17/2018,-,-,852.58,-,-,-,-,-
130773,Axis Enhanced Arbitrage Fund - Direct Plan - Growth,Unrated,EQ-MC,2/27/2017,-,-4.33,1168.85,-,-,-,-,-
120465,Axis Equity Fund - Direct Plan - Growth,Unrated,EQ-MLC,7/28/2017,-,5.97,89.87,-,-,-,-,-
135120,Axis Equity Saver Fund - Direct Plan - Growth,Unrated,EQ-MLC,7/28/2017,-,5.97,89.87,-,-,-,-,-
130314,Axis Fixed Income Opportunities Fund - Direct Plan - Growth,Unrated,EQ-MLC,7/28/2017,-,5.97,89.87,-,-,-,-,-
120468,Axis Focused 25 Fund - Direct Plan - Growth Option,* * * * *,EQ-MLC,1/1/2013,0.66,1.14,6510.79,0.79,1.08,1.85,19.91,18.58
120473,Axis Gold Fund - Direct Plan - Growth option,* * * * *,EQ-MLC,1/1/2013,0.66,1.14,6510.79,0.79,1.08,1.85,19.91,18.58
120480,Axis Income Saver - Direct Plan - Growth Option,Unrated,EQ-L&MC,10/15/2018,0.61,-,667.34,-,-,-,-,-
120389,Axis Liquid Fund - Direct Plan - Growth Option,Unrated,EQ-L&MC,10/15/2018,0.61,-,667.34,-,-,-,-,-
120503,Axis Long Term Equity Fund - Direct Plan - Growth Option,* * * * *,EQ-ELSS,1/1/2013,0.95,1.97,17089.75,0.55,0.94,-0.81,15.53,20.84
120505,Axis Midcap Fund - Direct Plan - Growth,* * * *,EQ-MC,1/1/2013,0.99,4.9,1779.24,0.61,0.82,1.04,17.79,22.63
141925,Axis Multicap Fund - Direct Plan - Growth,Unrated,EQ-MLC,11/13/2017,0.58,10.16,2931.63,-,-,-,-,-
120475,Axis Regular Savings Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,11/13/2017,0.58,10.16,2931.63,-,-,-,-,-
120510,Axis Short Term Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,11/13/2017,0.58,10.16,2931.63,-,-,-,-,-
120513,Axis Treasury Advantage Fund - Direct Plan - Growth Option,* * *,EQ-SC,11/29/2013,1.58,-7.43,221.68,0.59,0.62,3.88,13.81,22.44
120524,Axis Triple Advantage Fund - Direct Plan - Growth Option,* * *,EQ-SC,11/29/2013,1.58,-7.43,221.68,0.59,0.62,3.88,13.81,22.44
119326,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119333,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119337,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
134045,Baroda Pioneer ELSS 96 Plan B(Direct) -Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119341,BARODA PIONEER GILT FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119353,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Dividend Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119354,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119362,BARODA PIONEER INCOME FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119367,Baroda Pioneer Large cap Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119415,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - GROWTH OPTION,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119392,Baroda Pioneer Mid-cap Fund- Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119389,BARODA PIONEER MIP FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119317,Baroda Pioneer PSU Bond Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119400,Baroda Pioneer Short Term Bond Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119410,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119580,Birla Sun Life Commodities Equities Fund Global Multi Commodity Plan - Growth - Direct Plan,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119584,Birla Sun Life Commodities Equities Fund Global Precious Metals Plan - Growth - Direct Plan,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
125785,Birla Sun Life Fixed Term Plan - Series JE (368 days) - Direct Plan-Growth,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119509,Birla Sun Life Floating Rate - Long Term - Growth - Direct Plan,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
141006,BNP PARIBAS BALANCED FUND- DIRECT PLAN - GROWTH OPTION,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119984,BNP Paribas Corporate Bond Fund - Direct Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119988,BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
140386,BNP PARIBAS ENHANCED ARBITRAGE FUND-DIRECT PLAN-GROWTH OPTION,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119893,BNP Paribas Equity Fund - Direct Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
119992,BNP Paribas Flexi Debt Fund - Direct Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56
141813,BNP Paribas Focused 25 Equity Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,9/29/2017,1.36,-9.58,243.64,-,-,-,-,-
122374,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,9/29/2017,1.36,-9.58,243.64,-,-,-,-,-
120000,BNP Paribas Income And Gold Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,9/29/2017,1.36,-9.58,243.64,-,-,-,-,-
120147,BNP Paribas Long Term Equity Fund - Direct Plan - Growth Option,* *,EQ-ELSS,1/1/2013,1.3,-5.73,448.28,0.44,0.95,-3.03,11.55,15.89
127305,BNP Paribas Medium Term Income Fund - Direct Plan - Growth Option,* *,EQ-ELSS,1/1/2013,1.3,-5.73,448.28,0.44,0.95,-3.03,11.55,15.89
120002,BNP Paribas Mid Cap Fund - Direct Plan - Growth Option,* *,EQ-ELSS,1/1/2013,1.3,-5.73,448.28,0.44,0.95,-3.03,11.55,15.89
120008,BNP Paribas Money Plus Fund - Direct Plan - Growth Option,* *,EQ-MC,1/1/2013,0.9,-16.54,709.14,0.49,0.92,-3.05,11.62,19.36
120082,BNP Paribas Monthly Income Plan - Direct Plan - Growth Option,* *,EQ-MC,1/1/2013,0.9,-16.54,709.14,0.49,0.92,-3.05,11.62,19.36
120123,BNP Paribas Overnight Fund - Direct Plan - Growth Option,* * *,EQ-MLC,1/1/2013,0.83,-10.35,778.09,0.82,0.94,-0.58,13.6,17.29
130479,BNP PARIBAS OVERNIGHT FUND -- DIRECT PLAN - GROWTH OPTION,* * *,EQ-MLC,1/1/2013,0.83,-10.35,778.09,0.82,0.94,-0.58,13.6,17.29
120131,BNP Paribas Short Term Income Fund - Direct Plan - Growth Option,* * *,EQ-MLC,1/1/2013,0.83,-10.35,778.09,0.82,0.94,-0.58,13.6,17.29
119393,BOI AXA Conservative Hybrid Fund Fund-Direct Plan-Growth,* * *,EQ-MLC,1/1/2013,0.83,-10.35,778.09,0.82,0.94,-0.58,13.6,17.29
119350,BOI AXA Large & Mid Cap Equity Fund Direct Plan-Growth,*,EQ-L&MC,1/1/2013,1.81,-17.14,142.77,0.2,1.05,-5.85,10.75,11.63
119369,BOI AXA Liquid Fund- Direct Plan- Growth,*,EQ-L&MC,1/1/2013,1.81,-17.14,142.77,0.2,1.05,-5.85,10.75,11.63
119364,BOI AXA Manufacturing & Infrastructure Fund-Direct Plan-Growth,* * *,EQ-S INFRA,1/1/2013,1.6,-28.35,42.9,0.3,0.99,0.96,11.16,14.78
139527,BOI AXA MID & SMALL CAP EQUITY & DEBT FUND - DIRECT PLAN GROWTH,* * *,EQ-S INFRA,1/1/2013,1.6,-28.35,42.9,0.3,0.99,0.96,11.16,14.78
119382,BOI AXA Short Term Income Fund-Direct Plan- Growth,Unrated,EQ-ELSS,10/11/2018,-,-,45.56,-,-,-,-,-
119379,BOI AXA Ultra Short Duration Fund- Direct Plan- Growth,* * *,EQ-ELSS,1/1/2013,1.66,-17.12,196.08,0.41,1.1,-2.44,14.22,14.59
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN  GROWTH,* * *,EQ-ELSS,1/1/2013,1.66,-17.12,196.08,0.41,1.1,-2.44,14.22,14.59
118272,Canara Robeco Balance - Direct Plan - Growth,* * *,EQ-ELSS,1/1/2013,1.66,-17.12,196.08,0.41,1.1,-2.44,14.22,14.59
118284,Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,Unrated,EQ-T Consumption,1/2/2013,1.44,2.86,295.59,0.83,1,4.4,21.15,21.26
118278,Canara Robeco Emerging Equities-Direct Plan-Growth Option,* * * * *,EQ-L&MC,1/2/2013,0.95,-8.3,4096.85,0.76,1.13,1,19.98,27.57
118275,Canara Robeco Equity Diversified-Direct Plan -Growth Option,* *,EQ-MLC,1/2/2013,1.76,1.55,922.19,0.7,1,0.38,17.9,15.36
118285,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118273,Canara Robeco F.O.R.C.E Fund - Direct Plan - Growth,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118297,Canara Robeco Gilt Advantage Fund - Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118299,Canara Robeco Gilt PGS-Direct Plan - Growth option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118301,Canara Robeco Gold Savings Fund - Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118282,Canara Robeco Income-Direct Plan - Growth Option,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118302,Canara Robeco InDiGo Fund - Direct Plan - Growth,* * *,EQ-ELSS,1/2/2013,1.52,2.36,868.67,0.67,0.98,0.15,16.84,15.95
118267,Canara Robeco Infrastructure-Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118269,Canara Robeco Large Cap+ Fund - Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118305,Canara Robeco Liquid- Direct Plan-Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
139235,Canara Robeco Liquid -Unclaimed Redemption and Dividend Plan -Direct Growth Option,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
126685,Canara Robeco Medium Term Opportunities Fund - Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118309,Canara Robeco Monthly Income Plan-Direct Plan - Growth Option,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118266,Canara Robeco Nifty Index-Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118291,Canara Robeco Savings Plus Fund-Direct Plan - Growth Option,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118312,Canara Robeco Short Term Fund- Direct Plan - Growth,* *,EQ-S INFRA,1/2/2013,1.86,-20.86,115.01,0.13,0.92,-1.64,8.08,16.34
118317,Canara Robeco Treasury Advantage Fund - Direct Plan- Growth option,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
118320,Canara Robeco Yield Advantage Fund - Direct Plan - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
119196,Daiwa Government Securities Fund - Short Term Plan - Direct - Growth Option,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
119194,Daiwa Industry Leaders Fund - Direct - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
119181,Daiwa Liquid Fund - Direct - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
119184,Daiwa Treasury Advantage Fund - Direct - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
138875,DHFL Pramerica Arbitrage Fund - Direct Plan - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
138386,DHFL Pramerica Balanced Advantage Fund - Direct Plan - Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
138564,DHFL Pramerica Banking and PSU Debt fund- Direct Plan-Growth,Unrated,EQ-SC,2/8/2019,-,-,-,-,-,-,-,-
